STATEFP|DISTRICT|NAME|NAMELSAD
17|00223|Okaw Valley Community Unit School District 302|Okaw Valley Community Unit School District 302
17|00314|West Prairie Community Unit School District 103|West Prairie Community Unit School District 103
17|00319|West Central Community Unit School District 235|West Central Community Unit School District 235
17|00320|Monmouth-Roseville Community Unit School District 238|Monmouth-Roseville Community Unit School District 238
17|00321|United Community School District 304|United Community School District 304
17|00323|Crescent Iroquois Community Unit School District 249|Crescent Iroquois Community Unit School District 249
17|00324|Sangamon Valley Community Unit School District 9|Sangamon Valley Community Unit School District 9
17|00326|El Paso-Gridley Community Unit School District 11|El Paso-Gridley Community Unit School District 11
17|00332|Schuyler-Industry Community Unit School District 5|Schuyler-Industry Community Unit School District 5
17|01382|Thompsonville Community Unit School District 174|Thompsonville Community Unit School District 174
17|01387|Western Community Unit School District 12|Western Community Unit School District 12
17|01390|Flanagan-Cornell District 74|Flanagan-Cornell District 74
17|01395|Mercer County School District 404|Mercer County School District 404
17|03090|Abingdon Community Unit School District 217|Abingdon Community Unit School District 217
17|03300|Alden-Hebron School District 19|Alden-Hebron School District 19
17|03450|Allendale Community Consolidated School District 17|Allendale Community Consolidated School District 17
17|03510|Altamont Community Unit School District 10|Altamont Community Unit School District 10
17|03600|Alton Community Unit School District 11|Alton Community Unit School District 11
17|03660|Alwood Community Unit School District 225|Alwood Community Unit School District 225
17|03690|Amboy Community Unit School District 272|Amboy Community Unit School District 272
17|03810|Annawan Community Unit School District 226|Annawan Community Unit School District 226
17|03960|Arcola Consolidated Unit School District 306|Arcola Consolidated Unit School District 306
17|03990|Argenta-Oreana Community Unit School District 1|Argenta-Oreana Community Unit School District 1
17|04260|Arthur Community Unit School District 305|Arthur Community Unit School District 305
17|04380|Ashton Community Unit School District 275|Ashton Community Unit School District 275
17|04440|Astoria Community Unit School District 1|Astoria Community Unit School District 1
17|04470|Athens Community Unit School District 213|Athens Community Unit School District 213
17|04590|Atwood-Hammond Community Unit School District 39|Atwood-Hammond Community Unit School District 39
17|04620|Auburn Community Unit School District 10|Auburn Community Unit School District 10
17|04680|Aurora East Unit School District 131|Aurora East Unit School District 131
17|04710|Aurora West Unit School District 129|Aurora West Unit School District 129
17|04830|Avon Community Unit School District 176|Avon Community Unit School District 176
17|04920|Ball-Chatham Community Unit School District 5|Ball-Chatham Community Unit School District 5
17|05050|Barrington Community Unit School District 220|Barrington Community Unit School District 220
17|05220|Batavia Unit School District 101|Batavia Unit School District 101
17|05310|Beardstown Community Unit School District 15|Beardstown Community Unit School District 15
17|05430|Beecher Community Unit School District 200U|Beecher Community Unit School District 200U
17|05460|Beecher City Community Unit School District 20|Beecher City Community Unit School District 20
17|05790|Belvidere Consolidated Unit School District 100|Belvidere Consolidated Unit School District 100
17|05820|Bement Community Unit School District 5|Bement Community Unit School District 5
17|06120|Bethalto Consolidated Unit School District 8|Bethalto Consolidated Unit School District 8
17|06390|Bismarck-Henning Consolidated Unit School District|Bismarck-Henning Consolidated Unit School District
17|06480|Bloomington School District 87|Bloomington School District 87
17|06600|Scott-Morgan Consolidated Unit School District 2|Scott-Morgan Consolidated Unit School District 2
17|06880|Bradford Community Unit School District 1|Bradford Community Unit School District 1
17|07200|Brimfield Community Unit School District 309|Brimfield Community Unit School District 309
17|07440|Brownstown Community Unit School District 201|Brownstown Community Unit School District 201
17|07650|Paxton-Buckley-Loda Community Unit School District 10|Paxton-Buckley-Loda Community Unit School District 10
17|07770|Bunker Hill Community Unit School District 8|Bunker Hill Community Unit School District 8
17|07830|Central Community Unit School District 301|Central Community Unit School District 301
17|07950|Bushnell-Prairie City Community Unit School District 170|Bushnell-Prairie City Community Unit School District 170
17|08010|Byron Community Unit School District 226|Byron Community Unit School District 226
17|08040|Cahokia Community Unit School District 187|Cahokia Community Unit School District 187
17|08070|Cairo Community Unit School District 1|Cairo Community Unit School District 1
17|08160|Cambridge Community Unit School District 227|Cambridge Community Unit School District 227
17|08220|Camp Point Community Unit School District 3|Camp Point Community Unit School District 3
17|08250|Trico Community Unit School District 176|Trico Community Unit School District 176
17|08280|Canton Union School District 66|Canton Union School District 66
17|08430|Carlinville Community Unit School District 1|Carlinville Community Unit School District 1
17|08460|Carlyle Community Unit School District 1|Carlyle Community Unit School District 1
17|08500|Carmi-White County Community Unit School District 5|Carmi-White County Community Unit School District 5
17|08550|Community Unit School District 300|Community Unit School District 300
17|08580|Carrier Mills-Stonefort Community Unit School District|Carrier Mills-Stonefort Community Unit School District
17|08610|Carrollton Community Unit School District 1|Carrollton Community Unit School District 1
17|08640|Carterville Community Unit School District 5|Carterville Community Unit School District 5
17|09100|Central A & M Community Unit School District 21|Central A & M Community Unit School District 21
17|09330|Cerro Gordo Community Unit School District 100|Cerro Gordo Community Unit School District 100
17|09400|Chadwick-Milledgeville Community Unit School District 399|Chadwick-Milledgeville Community Unit School District 399
17|09420|Champaign Community Unit School District 4|Champaign Community Unit School District 4
