STATEFP|AIANNHCE|NAME|NAMELSAD
06|2190|Mesa Grande|Mesa Grande Reservation
06|2255|Middletown|Middletown Rancheria
06|2330|Montgomery Creek|Montgomery Creek Rancheria
06|2340|Mooretown|Mooretown Rancheria and Off-Reservation Trust Land
06|2360|Morongo|Morongo Reservation and Off-Reservation Trust Land
06|2495|North Fork|North Fork Rancheria and Off-Reservation Trust Land
06|2635|Pala|Pala Reservation
06|2685|Paskenta|Paskenta Rancheria
06|2715|Pauma and Yuima|Pauma and Yuima Reservation
06|2745|Pechanga|Pechanga Reservation
06|2775|Picayune|Picayune Rancheria and Off-Reservation Trust Land
06|2820|Pinoleville|Pinoleville Rancheria
06|2835|Pit River|Pit River Trust Land
06|3020|Quartz Valley|Quartz Valley Reservation and Off-Reservation Trust Land
06|3070|Ramona|Ramona Village
06|3095|Redding|Redding Rancheria
06|3115|Redwood Valley|Redwood Valley Rancheria
06|3145|Resighini|Resighini Rancheria
06|3165|Rincon|Rincon Reservation
06|3185|Roaring Creek|Roaring Creek Rancheria
06|3195|Robinson|Robinson Rancheria and Off-Reservation Trust Land
06|3220|Rohnerville|Rohnerville Rancheria
06|3250|Round Valley|Round Valley Reservation and Off-Reservation Trust Land
06|3265|Rumsey|Rumsey Indian Rancheria
06|3445|San Manuel|San Manuel Reservation
06|3460|San Pasqual|San Pasqual Reservation
06|3520|Santa Rosa|Santa Rosa Rancheria
06|3525|Santa Rosa|Santa Rosa Reservation
06|3540|Santa Ynez|Santa Ynez Reservation
06|3550|Santa Ysabel|Santa Ysabel Reservation
06|3735|Sherwood Valley|Sherwood Valley Rancheria and Off-Reservation Trust Land
06|3750|Shingle Springs|Shingle Springs Rancheria
06|3855|Smith River|Smith River Rancheria and Off-Reservation Trust Land
06|3870|Soboba|Soboba Reservation and Off-Reservation Trust Land
06|3985|Stewarts Point|Stewarts Point Rancheria
06|4030|Sulphur Bank|Sulphur Bank Rancheria
06|4060|Susanville|Susanville Indian Rancheria and Off-Reservation Trust Land
06|4090|Sycuan|Sycuan Reservation
06|4095|Table Bluff|Table Bluff Reservation
06|4110|Table Mountain|Table Mountain Rancheria
06|4180|Timbi-Sha Shoshone|Timbi-Sha Shoshone Reservation and Off-Reservation Trust Land
06|4255|Torres-Martinez|Torres-Martinez Reservation
06|4275|Trinidad|Trinidad Rancheria and Off-Reservation Trust Land
06|4300|Tule River|Tule River Reservation and Off-Reservation Trust Land
06|4330|Tuolumne|Tuolumne Rancheria
06|4375|Twenty-Nine Palms|Twenty-Nine Palms Reservation
06|4430|Upper Lake|Upper Lake Rancheria
06|4500|Viejas|Viejas Reservation
06|4560|Washoe Ranches|Washoe Ranches Trust Land
06|4665|Woodfords|Woodfords Community
06|4680|XL Ranch|XL Ranch Rancheria
06|4760|Yurok|Yurok Reservation
06|8300|Ione Band of Miwok|Ione Band of Miwok TDSA
06|8450|Mechoopda|Mechoopda TDSA
